Material,BeamEnergy_MeV,Fluence_cm2,DepositedEnergy_MeV,Dose_Gray,DamageIndex,LightYield_photons
Silicon,60,1878955193048.3389,1.309327064410626,9.003337493808657e-11,9.840667548292332e-08,0.0
Silicon,60,4754064388985.481,0.2039685665310465,1.4025508923807387e-11,3.878718794470657e-08,0.0
Silicon,60,3662649769638.9116,0.42562653215012475,2.926739559142862e-11,6.235683679727455e-08,0.0
Silicon,60,2997305836143.2124,1.0885054458788754,7.484899808061015e-11,1.3050334902425694e-07,0.0
Silicon,60,788533015807.7582,0.6579525313759896,4.524284921544992e-11,2.075269175297031e-08,0.0
Silicon,60,788412656477.6512,1.3415926906425806,9.225205910273518e-11,4.2309146285620667e-08,0.0
Silicon,60,299837224719.3153,3.2495386928547267,2.2344832201364746e-10,3.8973306531343714e-08,0.0
Silicon,60,4332218967416.927,0.12391683266531166,8.520904333034721e-12,2.1473394114195704e-08,0.0
Silicon,60,3009563908598.612,1.2363848327821942,8.501764169042816e-11,1.4883916679520088e-07,0.0
Silicon,60,3543282163202.267,0.2618118194151124,1.8002989735214797e-11,3.710692599396403e-08,0.0
Silicon,60,112716626536.05421,0.5352493484978735,3.6805399192116866e-11,2.4132600367320457e-09,0.0
Silicon,60,4849850162288.352,0.033414834757241586,2.2977072940496706e-12,6.482277670809863e-09,0.0
Silicon,60,4163888777594.1045,0.14607531950271982,1.004459036055226e-11,2.432965534243393e-08,0.0
Silicon,60,1069572162284.598,0.3853350183291171,2.6496826595130678e-11,1.6485744350329962e-08,0.0
Silicon,60,917306586363.4321,0.4185287753788419,2.8779331902852915e-11,1.5356768089505325e-08,0.0
Silicon,60,925188504168.6348,2.298445836170726,1.5804823818867012e-10,8.505982660317685e-08,0.0
Silicon,60,1528168792368.0933,1.354070798978732,9.311009239089033e-11,8.276994950624913e-08,0.0
Silicon,60,2628534593844.8667,3.582106790739683,2.463167321024595e-10,3.766276647322349e-07,0.0
Silicon,60,2165405643024.1577,0.913972197591324,6.284755259814882e-11,7.916482216925775e-08,0.0
Silicon,60,1463233409588.2292,0.27669430248750754,1.9026355260061582e-11,1.6194733905697302e-08,0.0
Silicon,60,3063145944664.6733,0.39698372184627706,2.72978274449643e-11,4.86407631068525e-08,0.0
Silicon,60,706074364653.6887,0.38542122064104134,2.6502754132474832e-11,1.0885441739526898e-08,0.0
Silicon,60,1467801796190.7385,0.39525886098938456,2.7179220682402236e-11,2.3206466644820963e-08,0.0
Silicon,60,1838145598035.5215,1.117685551737212,7.685551232971357e-11,8.217875107654637e-08,0.0
Silicon,60,2285789221243.0093,0.7567430593839709,5.2035991196730066e-11,6.919020513561358e-08,0.0
Silicon,60,3928028047351.1377,0.48682296960829474,3.34754517359235e-11,7.64901711486461e-08,0.0
Silicon,60,1006372172970.2151,0.16144864214052457,1.1101707530674062e-11,6.499096832562014e-09,0.0
Silicon,60,2576029847683.922,0.02238791246886278,1.5394620428910975e-12,2.3068772298850228e-09,0.0
Silicon,60,2966148698621.592,0.24696847111810152,1.6982315238454933e-11,2.9301808368300846e-08,0.0
Silicon,60,241787559472.78864,0.11369672547039918,7.818138180865416e-12,1.0996181508614189e-09,0.0
Silicon,60,3041648810988.1772,1.5391893070215699,1.0583941304394072e-10,1.8726693302351499e-07,0.0
Silicon,60,860915377199.5847,0.11934445658043659,8.206493624207893e-12,4.109819114145041e-09,0.0
Silicon,60,334607448996.5448,1.2881817021379784,8.85793544863273e-11,1.724140772785664e-08,0.0
Silicon,60,4744938830894.133,0.48720462543544896,3.350169556996428e-11,9.247024583279572e-08,0.0
Silicon,60,4828503845042.051,0.07620998417331053,5.240434010420372e-12,1.4719208064456949e-08,0.0
Silicon,60,4043902767101.141,1.6752041171686687,1.1519221169293124e-10,2.709745025951042e-07,0.0
Silicon,60,1530022708175.1196,0.8666213596466948,5.95915626608902e-11,5.303801438596161e-08,0.0
Silicon,60,497383848891.8555,0.2688753825884131,1.848870216633063e-11,5.349370906563804e-09,0.0
Silicon,60,3424322802295.663,2.2507630945554618,1.5476942552939355e-10,3.0829357549007274e-07,0.0
Silicon,60,2206360943760.6104,0.04631446081759537,3.1847254434650192e-12,4.087456699170941e-09,0.0
Silicon,60,618970791875.4463,0.22542065218886365,1.5500620623345645e-11,5.5811519836168196e-09,0.0
Silicon,60,2480932781455.2383,1.3945157757461015,9.589121397360038e-11,1.3838799609219942e-07,0.0
Silicon,60,181598720364.9398,1.2357315854780633,8.497272238717783e-11,8.976290985494181e-09,0.0
Silicon,60,4547508806373.122,0.3414650512164953,2.3480192092619934e-11,6.211261309902646e-08,0.0
Silicon,60,1301312108184.0845,0.06403184989342914,4.403027865332803e-12,3.333016863029805e-09,0.0
Silicon,60,3315986198926.37,1.9524781769797508,1.3425843285808657e-10,2.589756275427909e-07,0.0
Silicon,60,1565438269686.1606,0.37643698753172833,2.5884970501441397e-11,2.3571554656301583e-08,0.0
Silicon,60,2605139425677.276,0.21779962422185928,1.497657519037676e-11,2.269593551832244e-08,0.0
Silicon,60,2738084293922.9653,0.7257981125747304,4.9908121030256716e-11,7.949185650399206e-08,0.0
Silicon,60,932423733072.3799,2.4104732368859914,1.6575158844094412e-10,8.990329816033197e-08,0.0
Silicon,60,4848227292545.147,0.0445231874123286,3.0615519488534177e-12,8.634341294542164e-09,0.0
Silicon,60,3877912788571.9614,1.451597283269276,9.981631482010165e-11,2.2516670674584969e-07,0.0
Silicon,60,4698099718405.304,0.8497383678613927,5.843063597511443e-11,1.5968622347071165e-07,0.0
Silicon,60,4475188478633.968,0.5541666156446873,3.8106208937922965e-11,9.920000214306731e-08,0.0
Silicon,60,2993520894267.315,1.3628921186700609,9.371667359187975e-11,1.6319384135484307e-07,0.0
Silicon,60,4610152432765.353,3.376244055010862,2.3216097425138638e-10,6.225999897527153e-07,0.0
Silicon,60,451577585239.0783,0.2603344005474215,1.7901397848457846e-11,4.702447198154705e-09,0.0
Silicon,60,987954483471.5345,0.15507303097980676,1.0663300805803725e-11,6.128203848880811e-09,0.0
Silicon,60,235684171663.58496,2.440488832958187,1.6781555357892482e-10,2.3007383561999182e-08,0.0
Silicon,60,1633398350508.689,1.1054951537043431,7.6017262891074e-11,7.222855842224094e-08,0.0
Silicon,60,1949499675550.5151,0.5762285567322246,3.962325618134059e-11,4.493429537569654e-08,0.0
Silicon,60,1364031668551.7405,0.8515793434859016,5.855722714790737e-11,4.6463247711970804e-08,0.0
Silicon,60,4145400170668.1274,1.368902107721663,9.41299390107079e-11,2.2698588123909367e-07,0.0
Silicon,60,1790199100201.0105,1.4829457943076816,1.0197193531003782e-10,1.0619072906465938e-07,0.0
Silicon,60,1411863203340.03,2.5244067785948774,1.7358601083816056e-10,1.4256468163841e-07,0.0
Silicon,60,2718053454959.6597,0.5565952349694664,3.827320830744119e-11,6.051422405691367e-08,0.0
Silicon,60,713211882624.0656,0.34730598433960297,2.388183270340022e-11,9.908110197498098e-09,0.0
Silicon,60,4012962933962.6577,1.0207190898755167,7.018779877325131e-11,1.638443149463419e-07,0.0
Silicon,60,382007711962.0564,0.5373884787724592,3.695249239998535e-11,8.21146172842549e-09,0.0
Silicon,60,4934565813636.581,0.9028772313281396,6.208462843301798e-11,1.7821228478490743e-07,0.0
Silicon,60,3863501398790.3203,0.5447026903206595,3.7455440187895036e-11,8.417838423914875e-08,0.0
Silicon,60,1001591250855.5203,0.16604960993652165,1.141808429390971e-11,6.652553460815679e-09,0.0
Silicon,60,37555364446.77597,0.6337972563010389,4.358185785838621e-11,9.52099477830088e-10,0.0
Silicon,60,4079152527989.6226,1.1741480890315044,8.073805087057922e-11,1.9158116582428184e-07,0.0
Silicon,60,3537218145799.6094,1.605863347149987,1.1042412607453932e-10,2.2721155884853727e-07,0.0
Silicon,60,3647745768524.527,0.6798880265316731,4.675120164585906e-11,9.920234687405608e-08,0.0
Silicon,60,3858639029962.869,0.1806084931781263,1.2419198094426197e-11,2.787611923679603e-08,0.0
Silicon,60,379482812153.1109,0.5356097445275528,3.6830181136787754e-11,8.130187682797002e-09,0.0
Silicon,60,1798743985435.9204,1.5431537073352597,1.0611201746001745e-10,1.1102953798689766e-07,0.0
Silicon,60,588186607030.3972,0.5324907444757584,3.6615709055114614e-11,1.2528156970731463e-08,0.0
Silicon,60,4316886095119.212,1.192475135258573,8.199827520208499e-11,2.059111732069254e-07,0.0
Silicon,60,3120257652869.514,0.7076796302937046,4.8662238200170286e-11,8.832571128815201e-08,0.0
Silicon,60,1661181144014.7195,0.2760475172810342,1.898188031061491e-11,1.834259722237326e-08,0.0
Silicon,60,327156167927.25793,1.5903733418616248,1.0935898544480077e-10,2.081201792388465e-08,0.0
Silicon,60,1561801785361.1543,0.08797196992480616,6.0492244967436025e-12,5.495791187612002e-09,0.0
Silicon,60,1632664776913.4678,0.7442095179467502,5.117414615724996e-11,4.860178666381642e-08,0.0
Silicon,60,3650734829906.94,0.2343195637405407,1.6112537280421437e-11,3.421754370704765e-08,0.0
Silicon,60,3191411782062.5137,0.06942042202513211,4.7735627364903934e-12,8.861966110670346e-09,0.0
Silicon,60,4437191585455.869,0.6990323383452924,4.806762368455196e-11,1.2406961638669088e-07,0.0
Silicon,60,2366352476558.127,0.6922718756209555,4.7602753376926284e-11,6.552637069308751e-08,0.0
Silicon,60,606775287232.1255,1.227244507611615,8.438912468691747e-11,2.9786465544403443e-08,0.0
Silicon,60,3569091488242.745,1.365514537129706,9.389699918877563e-11,1.9494585246165466e-07,0.0
Silicon,60,3806317392598.3184,1.3011869206749926,8.947363350073217e-11,1.9810921628746692e-07,0.0
Silicon,60,2810773215871.786,0.526885111317329,3.6230248397012794e-11,5.9238182349294916e-08,0.0
Silicon,60,3857126227973.2593,0.9988297264194081,6.868261850105783e-11,1.5410449340206616e-07,0.0
Silicon,60,2474040025858.3096,0.860253658299511,5.91536998392408e-11,8.51320793209611e-08,0.0
Silicon,60,2618436818616.1504,0.5474234901936145,3.764253079478134e-11,5.733575288393269e-08,0.0
Silicon,60,2143429681609.1626,0.9093466334952898,6.252948451731688e-11,7.796482260420693e-08,0.0
