Material,BeamEnergy_MeV,Fluence_cm2,DepositedEnergy_MeV,Dose_Gray,DamageIndex,LightYield_photons
Silicon,60,2018606513895.8088,0.7198886778063777,4.9501770034670485e-11,5.812687897199181e-08,0.0
GaN,60,3819898477116.7373,1.4926351004050478,3.888569276694243e-11,2.850857273464115e-07,17911.621204860574
Scintillating_Fibre,60,994247284180.9646,0.4826639925446992,7.364900910240629e-11,3.1992490917300574e-08,3861.311940357594
GaN,60,3313865109565.856,0.8601522255955445,2.2408434029344217e-11,1.425214224658247e-07,10321.826707146534
GaN,60,1742907586376.1172,0.32069862189720394,8.35474663465467e-12,2.794740305225014e-08,3848.3834627664473
Silicon,60,422856809734.7676,0.8517408653583574,5.85683338909808e-11,1.4406577001846608e-08,0.0
Diamond,60,1851167273282.2664,1.3714700520086258,6.24244854524767e-11,5.9042336664304556e-08,20572.050780129386
GaN,60,4045469652948.603,0.20254837671706272,5.276731027781196e-12,4.097016556314393e-08,2430.5805206047526
Silicon,60,390329783290.7906,0.20021837070449944,1.3767633870186048e-11,3.126047729916898e-09,0.0
Scintillating_Fibre,60,4258381393586.3237,0.866327669609451,1.3219170149474952e-10,2.459435752675924e-07,6930.6213568756075
GaN,60,1085481281412.9185,1.2448617731002347,3.243077456302006e-11,6.756370763234004e-08,14938.341277202817
GaN,60,3215149341028.741,0.662032249002819,1.7247070385485146e-11,1.0642662745605945e-07,7944.386988033828
Scintillating_Fibre,60,3625650657980.9756,0.4523955828520182,6.903039570798538e-11,1.0934855617567379e-07,3619.1646628161457
Diamond,60,4265311155784.164,2.5043088098515853,1.1398731502750038e-10,2.4841061172531466e-07,37564.63214777378
Diamond,60,4113884255919.214,0.5459683157544852,2.4850554435668212e-11,5.223373159100248e-08,8189.524736317278
Scintillating_Fibre,60,2687514122701.1387,0.40996442507178177,6.255588595823878e-11,7.345234547903109e-08,3279.715400574254
Scintillating_Fibre,60,2930028860016.4062,0.13941721611781263,2.1273473839965432e-11,2.7233097787222367e-08,1115.3377289425011
Silicon,60,712934333714.798,2.393654045695462,1.6459504888121695e-10,6.8260726088465e-08,0.0
GaN,60,2403176282350.181,0.3351860860834413,8.732169811401105e-12,4.0275562612475616e-08,4022.2330330012956
GaN,60,1935592541373.5776,0.19556030985546388,5.094679955190685e-12,1.8926253857247084e-08,2346.7237182655667
Diamond,60,1601210373475.9873,1.6334762243415546,7.435008344078273e-11,6.082649012190899e-08,24502.14336512332
Silicon,60,2394607755208.758,0.6185321489536401,4.253218190603189e-11,5.924567522921301e-08,0.0
Silicon,60,671544646647.5669,0.12847715758393405,8.834486366430363e-12,3.451125895679471e-09,0.0
Scintillating_Fibre,60,3800935849683.492,0.11594787218731566,1.7692320177245083e-11,2.9380694939419174e-08,927.5829774985252
GaN,60,3590199088968.99,0.08452214548915513,2.2019461960945456e-12,1.5172566486643464e-08,1014.2657458698615
Scintillating_Fibre,60,3120121620678.414,0.1415245669108778,2.1595031486978112e-11,2.9438257405051918e-08,1132.1965352870225
Scintillating_Fibre,60,755555407254.1764,0.13854324522430775,2.114011586985537e-11,6.978473204517806e-09,1108.345961794462
GaN,60,1267291096719.834,4.277026842374766,1.1142385148481305e-10,2.710119018886643e-07,51324.32210849719
